Player,Age,Team,Pos,GP,G,A,PTS,PlusMin,PS,S,TOI,BLK,HIT
Nicholas Abruzzese,22,TOR,C,9,1,0,1,-1,0,8,92,3,7
Noel Acciari,30,FLA,C,20,3,5,8,2,0.6,32,240,16,48
Calen Addison,21,MIN,D,15,2,2,4,-4,0.3,17,207,6,12
Andrew Agozzino,31,OTT,LW,1,0,0,0,0,0,1,7,0,4
Jack Ahcan,24,BOS,D,6,1,0,1,-3,0.1,5,96,5,8
Sebastian Aho,24,CAR,F,79,37,44,81,18,9.5,221,1497,23,76
Sebastian Aho,25,NYI,D,36,2,10,12,-6,1.7,34,592,42,32
Alexander Alexeyev,22,WSH,D,1,0,0,0,0,0,0,11,0,1
Wade Allison,24,PHI,RW,1,0,0,0,-1,0,2,8,0,1
Michael Amadio,25,TOT,C,56,11,7,18,1,1.7,64,681,16,42
Joey Anderson,23,TOR,RW,5,0,0,0,0,-0.1,10,44,0,3
Josh Anderson,27,MTL,RW,69,19,13,32,-25,2.1,151,1189,35,153
Michael Anderson,22,LAK,D,57,2,6,8,6,2.6,58,1147,69,133
Jaret Anderson-Dolan,22,LAK,C,7,0,0,0,-3,-0.3,5,97,3,12
Lias Andersson,23,LAK,C,20,1,1,2,-7,-0.3,29,212,3,23
Rasmus Andersson,25,CGY,D,82,4,46,50,30,8.6,152,1859,125,63
Andy Andreoff,30,NYI,LW,6,1,0,1,-1,0.1,6,60,1,11
Anthony Angello,25,PIT,C,4,0,0,0,0,0,2,27,0,13
Mason Appleton,26,TOT,C,68,8,13,21,-1,1.2,98,1012,20,64
Josh Archibald,29,EDM,RW,8,0,1,1,-2,-0.1,4,72,2,27
Joel Armia,28,MTL,RW,60,6,8,14,-15,0.1,103,823,27,104
Viktor Arvidsson,28,LAK,LW,66,20,29,49,1,5.2,227,1121,45,23
Rasmus Asplund,24,BUF,F,80,8,19,27,-5,1.6,130,1142,14,30
Zach Aston-Reese,27,TOT,C,69,5,10,15,9,0.8,78,900,42,231
Andreas Athanasiou,27,LAK,C,28,11,6,17,7,2.4,71,427,10,11
Cam Atkinson,32,PHI,RW,73,23,27,50,-2,5.1,215,1332,45,20
Ronald Attard,22,PHI,D,15,2,2,4,-2,0.7,16,249,17,24
Nicolas Aube-Kubel,25,TOT,RW,74,11,12,23,11,2.3,87,726,18,140
Mikael Backlund,32,CGY,C,82,12,27,39,16,3,214,1404,27,62
Nicklas Backstrom,34,WSH,C,47,6,25,31,-8,2,68,822,16,16
Brandon Baddock,26,MTL,LW,1,0,0,0,0,0,0,8,0,6
Sven Baertschi,29,VEG,LW,1,0,0,0,-1,-0.1,1,14,0,0
Kevin Bahl,21,NJD,D,17,1,3,4,-6,0.3,16,268,15,28
Josh Bailey,32,NYI,C,74,14,30,44,-7,3.7,87,1250,26,19
Justin Bailey,26,VAN,RW,14,0,0,0,-5,-0.4,16,127,6,12
Rudolfs Balcers,24,SJS,LW,61,11,12,23,-3,2,98,917,43,115
Alexander Barabanov,27,SJS,F,70,10,29,39,-5,3,103,1203,39,53
Ivan Barbashev,26,STL,C,81,26,34,60,4,5.9,111,1332,28,160
Riley Barber,27,DET,RW,4,0,0,0,-2,-0.1,4,34,1,3
Aleksander Barkov,26,FLA,C,67,39,49,88,36,10.6,214,1360,42,50
Alex Barre-Boulet,24,TOT,F,16,3,3,6,0,0.6,16,176,3,10
Tyson Barrie,30,EDM,D,73,7,34,41,3,5.7,149,1384,73,27
Justin Barron,20,TOT,D,7,1,1,2,-3,0.2,13,120,5,5
Morgan Barron,23,TOT,C,27,2,3,5,-4,0.1,33,265,8,49
Mathew Barzal,24,NYI,C,73,15,44,59,-15,4.9,161,1315,17,36
Nathan Bastian,24,TOT,RW,72,12,6,18,-12,1.1,97,857,40,210
Drake Batherson,23,OTT,C,46,17,27,44,4,4.9,110,871,15,89
Gavin Bayreuther,27,CBJ,D,43,0,8,8,0,1.1,44,561,45,50
Jay Beagle,36,ARI,RW,33,1,1,2,-20,-1.2,24,455,16,50
Jake Bean,23,CBJ,D,67,7,18,25,-5,3.6,90,1378,71,41
Ethan Bear,24,CAR,D,58,5,9,14,1,2.9,97,933,41,55
Nicolas Beaudin,22,CHI,D,2,0,0,0,-1,-0.1,1,12,1,0
Nathan Beaulieu,29,WPG,D,24,0,4,4,-7,0.1,24,258,19,19
Anthony Beauvillier,24,NYI,LW,75,12,22,34,-10,2.4,154,1263,20,39
Adam Beckman,20,MIN,LW,3,0,1,1,-1,0,4,31,1,1
Pierre-Edouard Bellemare,36,TBL,LW,80,9,11,20,24,1.7,72,1101,44,88
Kieffer Bellows,23,NYI,LW,45,6,13,19,-1,1.7,79,534,14,103
Alex Belzile,30,MTL,F,11,0,0,0,0,-0.2,13,114,5,17
Emil Bemstrom,22,CBJ,C,41,6,5,11,-1,0.8,62,431,6,36
Matthew Beniers,19,SEA,C,10,3,6,9,-1,0.9,18,169,4,7
Jamie Benn,32,DAL,LW,82,18,28,46,-13,3.7,182,1373,60,143
Jordie Benn,34,MIN,D,39,1,7,8,1,0.9,37,584,41,51
Sam Bennett,25,FLA,C,71,28,21,49,27,5.8,241,1203,27,119
Matt Benning,27,NSH,D,65,0,11,11,-24,0.2,61,1062,67,82
Simon Benoit,23,ANA,D,53,1,4,5,-5,1.2,45,747,39,168
Tyler Benson,23,EDM,LW,29,1,1,2,-5,-0.3,18,248,3,45
Patrice Bergeron,36,BOS,C,73,25,40,65,26,7.6,293,1326,45,78
Jacob Bernard-Docker,21,OTT,D,8,0,1,1,1,0.3,6,118,3,4
Tyler Bertuzzi,26,DET,LW,68,30,32,62,-11,6.4,180,1351,41,65
Alex Biega,33,TOR,D,2,0,0,0,-2,-0.1,2,26,1,5
Brandon Biro,23,BUF,F,1,0,0,0,0,0,0,14,0,1
Clark Bishop,25,OTT,C,9,0,1,1,-3,-0.1,8,75,3,12
Anders Bjork,25,BUF,LW,58,5,3,8,-14,-0.3,51,698,16,11
Kasper Bjorkqvist,24,PIT,RW,6,1,0,1,-1,0.1,8,50,2,9
Oliver Bjorkstrand,26,CBJ,RW,80,28,29,57,-35,4.4,215,1436,31,85
Tobias Bjornfot,20,LAK,D,70,0,8,8,-12,1.1,53,1173,58,61
Nick Bjugstad,29,MIN,C,57,7,6,13,-2,0.6,81,585,14,99
Colin Blackwell,28,TOT,C,58,10,10,20,0,1.8,77,692,24,91
Sammy Blais,25,NYR,LW,14,0,4,4,3,0.2,17,188,8,37
Nick Blankenburg,23,CBJ,D,7,1,2,3,-3,0.2,13,123,12,19
Anton Blidh,26,BOS,LW,32,2,7,9,-3,0.4,28,343,17,82
Teddy Blueger,27,PIT,C,65,9,19,28,12,2.3,93,976,32,87
Brock Boeser,24,VAN,RW,71,23,23,46,-5,4.4,195,1321,26,35
Zach Bogosian,31,TBL,D,48,3,5,8,2,1.8,60,737,34,114
Matt Boldy,20,MIN,LW,47,15,24,39,17,4.3,113,723,24,23
Nick Bonino,33,SJS,C,80,16,10,26,-25,1.4,137,1336,102,34
Adam Boqvist,21,CBJ,D,52,11,11,22,-11,2.9,64,886,47,26
Jesper Boqvist,23,NJD,C,56,10,13,23,-9,1.7,74,735,16,31
Thomas Bordeleau,20,SJS,C,8,0,5,5,-1,0.3,13,125,4,3
William Borgen,25,SEA,D,36,2,6,8,1,1.6,49,550,33,89
Henrik Borgström,24,CHI,C,52,4,3,7,-14,-0.2,41,547,19,26
Mark Borowiecki,32,NSH,D,57,0,4,4,-9,0.3,45,747,79,196
Robert Bortuzzo,32,STL,D,73,1,5,6,-4,0.8,47,1003,98,135
Evan Bouchard,22,EDM,D,81,12,31,43,10,7,205,1604,112,80
Madison Bowey,26,VAN,D,2,0,0,0,-3,-0.2,0,31,2,4
Travis Boyd,28,ARI,C,74,17,18,35,-10,2.7,88,1222,55,71
Brian Boyle,37,PIT,C,66,11,10,21,6,2.1,87,712,39,95
Tyler Bozak,35,STL,C,50,3,9,12,-11,-0.1,46,609,21,20
Erik Brannstrom,22,OTT,D,53,0,14,14,-17,1.4,86,1048,59,39
Derick Brassard,34,TOT,C,46,8,11,19,4,1.9,62,594,6,82
Jesper Bratt,23,NJD,W,76,26,47,73,0,7.4,197,1325,30,26
Justin Braun,34,TOT,D,69,6,12,18,2,3.9,73,1349,121,87
Bobby Brink,20,PHI,RW,10,0,4,4,-5,0,18,154,2,15
Guillaume Brisebois,24,VAN,D,1,0,0,0,-1,-0.1,0,4,1,0
Philip Broberg,20,EDM,D,23,1,2,3,-8,0,29,310,10,10
T.J. Brodie,31,TOR,D,82,4,24,28,20,5.2,68,1748,106,53
Jonas Brodin,28,MIN,D,73,5,25,30,9,4,126,1711,126,42
Jonny Brodzinski,28,NYR,C,22,1,1,2,1,0,34,239,8,8
Adam Brooks,25,TOT,C,25,2,1,3,2,0.2,14,224,6,11
Connor Brown,28,OTT,RW,64,10,29,39,-15,2.4,121,1284,37,14
Dustin Brown,37,LAK,RW,64,9,19,28,-3,2.1,146,943,20,88
Josh Brown,28,TOT,D,52,0,6,6,-7,1,45,739,62,118
Logan Brown,23,STL,C,39,4,7,11,-3,0.6,34,397,13,22
Patrick Brown,29,PHI,C,44,4,5,9,-16,-0.1,51,547,36,100
Jacob Bryson,24,BUF,D,73,1,9,10,-9,2,43,1338,73,55
Pavel Buchnevich,26,STL,LW,73,30,46,76,29,8.7,199,1336,15,57
Connor Bunnaman,23,PHI,F,15,0,0,0,-7,-0.5,10,150,2,17
Michael Bunting,26,TOR,LW,79,23,40,63,27,6.9,175,1228,21,85
Andre Burakovsky,26,COL,LW,80,22,39,61,12,5.9,149,1301,34,49
Brent Burns,36,SJS,D,82,10,44,54,-15,8.5,203,2144,150,55
Kyle Burroughs,26,VAN,D,42,1,4,5,-3,0.9,39,543,59,122
Will Butcher,27,BUF,D,37,2,6,8,-10,0.9,35,610,32,11
Quinton Byfield,19,LAK,C,40,5,5,10,-7,0.5,39,486,11,20
Bowen Byram,20,COL,D,30,5,12,17,7,2.9,49,564,26,53
Paul Byron,32,MTL,LW,27,4,3,7,-8,0.2,33,340,7,66
Drake Caggiula,27,BUF,LW,18,2,3,5,-4,0.2,23,263,7,17
Kyle Capobianco,24,ARI,D,45,2,7,9,-12,1,40,720,46,43
Michael Carcone,25,ARI,F,21,4,2,6,-8,0.3,36,259,7,31
Brandon Carlo,25,BOS,D,79,6,9,15,2,3.9,125,1557,104,143
John Carlson,32,WSH,D,78,17,54,71,13,11,195,1857,112,73
Gabriel Carlsson,25,CBJ,D,38,2,7,9,6,1.8,18,466,33,27
Lucas Carlsson,24,FLA,D,40,3,6,9,3,1.3,41,508,29,39
Ryan Carpenter,31,TOT,C,67,3,9,12,-11,-0.2,67,843,44,136
Sam Carrick,29,ANA,C,64,11,8,19,-12,1.4,80,734,21,122
Alexandre Carrier,25,NSH,D,77,3,27,30,26,6.4,95,1616,124,95
William Carrier,27,VEG,LW,63,9,11,20,7,1.8,120,732,24,159
Jeff Carter,37,PIT,C,76,19,26,45,-8,3.6,200,1343,50,99
Jackson Cates,24,PHI,C,11,1,0,1,-2,0,8,100,3,4
Noah Cates,22,PHI,LW,16,5,4,9,4,1.2,23,212,6,21
Cole Caufield,21,MTL,RW,67,23,20,43,-24,3.7,188,1118,7,18
Cody Ceci,28,EDM,D,78,5,23,28,8,4.7,102,1630,121,117
Erik Cernak,24,TBL,D,55,1,12,13,7,2.6,86,1053,73,165
Thomas Chabot,25,OTT,D,59,7,31,38,-3,6.1,173,1545,93,73
Mitchell Chaffee,24,MIN,F,2,0,0,0,1,0,1,15,0,7
Zdeno Chara,44,NYI,D,72,2,12,14,8,3.9,81,1349,90,125
Jalen Chatfield,25,CAR,D,16,0,3,3,1,0.6,25,237,10,32
Ben Chiarot,30,TOT,D,74,9,17,26,-14,3.3,143,1691,130,157
Alex Chiasson,31,VAN,RW,67,13,9,22,4,2.3,98,779,18,68
Yegor Chinakhov,20,CBJ,RW,62,7,7,14,-27,-0.3,98,775,16,50
Declan Chisholm,22,WPG,D,2,0,0,0,1,0.1,4,26,1,1
Sasha Chmelevski,22,SJS,C,19,0,8,8,2,0.5,31,251,4,20
Dennis Cholowski,23,TOT,D,11,0,3,3,-3,0.2,11,174,13,5
Jake Christiansen,22,CBJ,D,8,1,0,1,1,0.3,4,78,6,9
Jakob Chychrun,23,ARI,D,47,7,14,21,-20,2.4,141,1081,66,51
Filip Chytil,22,NYR,C,67,8,14,22,-1,1.5,135,883,27,24
Anthony Cirelli,24,TBL,C,76,17,26,43,15,3.9,146,1392,67,75
Casey Cizikas,30,NYI,C,74,10,6,16,-3,1,91,1017,43,138
Fredrik Claesson,29,TBL,D,9,0,0,0,-3,-0.2,4,89,6,12
Kale Clague,23,TOT,D,36,2,8,10,-10,1,26,603,23,14
Kyle Clifford,31,TOT,LW,25,1,3,4,-5,-0.1,29,220,5,50
Connor Clifton,26,BOS,D,60,2,8,10,-2,2.1,80,964,62,156
Cal Clutterbuck,34,NYI,RW,59,6,9,15,-6,0.7,74,828,23,229
Dylan Coghlan,23,VEG,D,59,3,10,13,-5,1.8,108,838,61,62
Andrew Cogliano,34,TOT,LW,74,4,12,16,-18,0,75,938,31,104
Ian Cole,32,CAR,D,75,2,17,19,15,4.4,77,1286,104,110
Blake Coleman,30,CGY,C,81,16,17,33,16,3.2,212,1200,44,163
Ross Colton,25,TBL,C,79,22,17,39,4,4.2,159,1011,36,153
Blake Comeau,35,DAL,RW,6,1,0,1,-1,0.1,2,69,3,13
J.T. Compher,26,COL,LW,70,18,15,33,6,2.9,102,1143,55,31
Max Comtois,23,ANA,LW,52,6,10,16,-17,0.4,72,735,17,111
Kevin Connauton,31,TOT,D,39,1,2,3,-3,0.5,30,510,32,74
Brett Connolly,29,CHI,RW,9,0,1,1,-3,-0.1,6,76,3,7
Kyle Connor,25,WPG,LW,79,47,46,93,-3,10.6,317,1720,23,32
Andrew Copp,27,TOT,C,72,21,32,53,15,5.4,183,1381,41,45
Paul Cotter,22,VEG,C,7,2,0,2,1,0.3,11,62,1,17
Nick Cousins,28,NSH,C,68,9,13,22,-8,1.2,103,848,28,66
Logan Couture,32,SJS,C,77,23,33,56,-11,5.4,199,1458,58,92
Sean Couturier,29,PHI,C,29,6,11,17,-6,1.2,79,591,18,22
Charlie Coyle,29,BOS,C,82,16,28,44,-6,3.4,131,1427,39,84
Dylan Cozens,20,BUF,C,79,13,25,38,-19,2.4,160,1256,22,35
Joseph Cramarossa,29,MIN,C,1,0,1,1,0,0.1,1,7,0,1
Kyle Criscuolo,29,DET,C,6,0,2,2,1,0.1,5,57,1,6
Sidney Crosby,34,PIT,C,69,31,53,84,19,9.4,208,1378,37,50
Lawson Crouse,24,ARI,LW,65,20,14,34,-9,3,131,1133,36,181
Austin Czarnik,29,TOT,C,17,2,5,7,5,0.8,14,185,7,3
Kirby Dach,21,CHI,C,70,9,17,26,-18,0.9,116,1263,44,49
Evgenii Dadonov,32,VEG,RW,78,20,23,43,4,4.2,177,1234,25,65
Jonathan Dahlen,24,SJS,C,61,12,10,22,-25,1.3,105,841,34,16
Rasmus Dahlin,21,BUF,D,80,13,40,53,-22,7.1,170,1921,91,121
Carl Dahlstrom,27,TOR,D,3,0,2,2,2,0.4,4,41,2,1
Michael Dal Colle,25,NYI,LW,1,0,0,0,1,0,2,15,0,0
Zac Dalpe,32,FLA,RW,1,0,0,0,-1,0,0,6,1,2
Riley Damiani,21,DAL,C,7,1,1,2,0,0.2,10,60,0,4
Phillip Danault,28,LAK,C,79,27,24,51,14,6.1,194,1432,49,74
Justin Danforth,28,CBJ,RW,45,10,4,14,-5,1.1,72,566,22,85
Laurent Dauphin,26,MTL,C,38,4,8,12,-10,0.4,50,505,27,31
Jeremy Davies,25,NSH,D,6,0,2,2,-5,-0.1,5,74,1,5
Sean Day,24,TBL,D,2,0,0,0,-2,-0.1,2,21,2,4
Calvin de Haan,30,CHI,D,69,4,4,8,-21,1.4,107,1308,172,146
Chase De Leo,26,NJD,C,2,0,0,0,-1,-0.1,2,16,0,5
Anthony DeAngelo,26,CAR,D,64,10,41,51,30,9.3,151,1268,59,41
Alex DeBrincat,24,CHI,RW,82,41,37,78,-13,8.4,270,1710,35,101
Jake DeBrusk,25,BOS,LW,77,25,17,42,6,4.9,184,1158,25,62
Danny DeKeyser,31,DET,D,59,0,11,11,-8,1.5,57,1092,102,49
Michael Del Zotto,31,OTT,D,26,3,10,13,-4,1.9,35,475,34,42
Ty Dellandrea,21,DAL,C,1,0,0,0,-1,-0.1,1,11,0,3
Dylan DeMelo,28,WPG,D,76,1,12,13,10,3.1,78,1406,108,113
Grigori Denisenko,21,FLA,LW,1,0,0,0,0,0,3,16,2,1
Travis Dermott,25,TOT,D,60,2,5,7,9,2.1,46,920,46,55
Nicolas Deslauriers,30,TOT,LW,81,8,5,13,-11,0.2,90,921,49,263
Connor Dewar,22,MIN,C,35,2,4,6,-4,-0.1,44,346,22,48
Jason Dickinson,26,VAN,C,62,5,6,11,-1,0.2,66,809,43,101
Brenden Dillon,31,WPG,D,79,3,17,20,16,4.5,85,1488,108,212
Cam Dineen,23,ARI,D,34,0,7,7,-16,0.1,52,532,44,22
Noah Dobson,22,NYI,D,80,13,38,51,-3,8.3,190,1717,154,78
Max Domi,26,TOT,LW,72,11,28,39,10,3.6,104,939,9,24
Ryan Donato,25,SEA,C,74,16,15,31,-13,2.6,159,1021,17,70
Joonas Donskoi,29,SEA,RW,75,2,20,22,-10,0.4,89,1113,31,36
Pavel Dorofeyev,21,VEG,LW,2,0,0,0,-1,-0.1,1,13,1,0
Drew Doughty,32,LAK,D,39,7,24,31,4,5.1,99,1004,53,60
Nic Dowd,31,WSH,C,64,10,14,24,10,2.2,90,913,53,139
Justin Dowling,31,VAN,C,22,2,2,4,-3,0.1,17,211,9,10
Leon Draisaitl,26,EDM,C,80,55,55,110,17,13.3,278,1788,25,53
Hunter Drew,23,ANA,D,2,0,0,0,0,0,0,20,0,5
Sheldon Dries,27,VAN,C,11,2,1,3,-3,0.2,17,113,6,9
Jonathan Drouin,26,MTL,LW,34,6,14,20,-9,1.3,62,581,11,27
Jack Drury,21,CAR,C,2,2,0,2,3,0.4,6,32,2,4
Jamie Drysdale,19,ANA,D,81,4,28,32,-26,3.6,137,1610,72,40
Dillon Dube,23,CGY,C,79,18,14,32,1,3.1,143,1014,15,87
Pierre-Luc Dubois,23,WPG,LW,81,28,32,60,-6,5.8,233,1533,43,112
Matt Duchene,31,NSH,C,78,43,43,86,6,10,228,1483,28,31
Anthony Duclair,26,FLA,LW,74,31,27,58,19,6.9,167,1110,16,38
Walker Duehr,24,CGY,F,1,0,0,0,0,0,0,9,0,0
Brandon Duhaime,24,MIN,RW,80,6,11,17,-2,0.4,91,817,18,201
Mathew Dumba,27,MIN,D,57,7,20,27,9,3.9,116,1317,84,114
Brian Dumoulin,30,PIT,D,76,3,15,18,24,5.2,91,1658,139,88
